PO,Part number,ITEM Name,PU,Chassis-Cab,ROW,GCC,Australia,Canada / Mexico,US,EU,Quantity per           vehicle,Procured,Print in house,Engraving or riveting,Self destructive,Removable,Prio,Catalogue number,"PTO ""engineering vehicle""","SOP ""saleable vehicle""",Release started (only ECO),MODULE,Drawings chek,variant formula,Label,notes,image,markets,complexity,market_count,complexity_count
x,PL-0000000021,SILICON ADDITIVE WARNING,True,False,False,False,False,False,True,False,1,False,True,False,True,False,2.0,6.22,True,True,True,EXTERIOR,okay,ZDU,,,PL-0000000021.png,"['PU', 'US']","['Print in house', 'Self destructive']",2,2
x,PL-0000000022,HOOD OPERATION WARNING,False,False,True,True,True,True,True,True,1,False,True,False,True,False,2.0,6.23,True,True,True,HANG ON PARTS,okay,AAB OR AAF OR AAJ,,,PL-0000000022.png,"['ROW', 'GCC', 'Australia', 'Canada / Mexico', 'US', 'EU']","['Print in house', 'Self destructive']",6,2
x,PL-0000000039,HOOD OPERATION WARNING PU,True,False,True,True,True,True,True,True,1,False,True,False,True,False,2.0,6.23,True,True,True,HANG ON PARTS,okay,AAN OR AAO OR AAP,,,PL-0000000039.png,"['PU', 'ROW', 'GCC', 'Australia', 'Canada / Mexico', 'US', 'EU']","['Print in house', 'Self destructive']",7,2
x,PL-0000000023,12 V CHARGING,False,False,True,True,True,True,True,True,1,False,True,False,True,False,2.0,8.6,True,True,True,INTERIOR,okay,AAB OR AAF OR AAJ,,,PL-0000000023.png,"['ROW', 'GCC', 'Australia', 'Canada / Mexico', 'US', 'EU']","['Print in house', 'Self destructive']",6,2
x,PL-0000000024,TRAILER COUPLING INFORMATION,False,False,False,False,False,False,False,True,1,False,True,False,True,False,2.0,12.3,True,True,True,EXTERIOR,okay,AAB OR AAF OR AAJ,,,PL-0000000024.png,['EU'],"['Print in house', 'Self destructive']",1,2
x,PL-0000000036,TRAILER COUPLING INFORMATION PU,True,False,False,False,False,False,False,True,1,False,True,False,True,False,2.0,12.3,True,True,True,EXTERIOR,okay,AAN OR AAO OR AAP,,,PL-0000000036.png,"['PU', 'EU']","['Print in house', 'Self destructive']",2,2
x,PL-0000000052,TRAILER COUPLING INFORMATION,False,False,True,True,False,True,False,False,1,False,True,False,True,False,2.0,12.3,True,True,True,EXTERIOR,okay,,,,PL-0000000052.png,"['ROW', 'GCC', 'Canada / Mexico']","['Print in house', 'Self destructive']",3,2
x,PL-0000000053,TRAILER COUPLING INFORMATION PU,True,False,True,True,False,True,False,False,1,False,True,False,True,False,2.0,12.3,True,True,True,EXTERIOR,okay,,,,PL-0000000053.png,"['PU', 'ROW', 'GCC', 'Canada / Mexico']","['Print in house', 'Self destructive']",4,2
x,PL-0000000054,TRAILER COUPLING INFORMATION,False,False,False,False,False,False,True,False,1,False,True,False,True,False,2.0,12.3,True,True,True,EXTERIOR,okay,,,,PL-0000000054.png,['US'],"['Print in house', 'Self destructive']",1,2
x,PL-0000000055,TRAILER COUPLING INFORMATION PU,True,False,False,False,False,False,True,False,1,False,True,False,True,False,2.0,12.3,True,True,True,EXTERIOR,okay,,,,PL-0000000055.png,"['PU', 'US']","['Print in house', 'Self destructive']",2,2
x,PL-0000000056,TRAILER COUPLING INFORMATION,False,False,False,False,True,False,False,False,1,False,True,False,True,False,2.0,12.3,True,True,True,EXTERIOR,okay,,,,PL-0000000056.png,['Australia'],"['Print in house', 'Self destructive']",1,2
x,PL-0000000077,TRAILER COUPLING INFORMATION PU,True,False,False,False,True,False,False,False,1,False,True,False,True,False,2.0,12.3,True,True,True,EXTERIOR,okay,,,,PL-0000000077.png,"['PU', 'Australia']","['Print in house', 'Self destructive']",2,2
x,EI-0000016466,TOWING/EMERGENCY RESCUE CAUTION AWD,False,False,True,True,True,True,True,True,1,True,False,False,True,False,2.0,16.2,True,True,True,HANG ON PARTS,okay,AAB OR AAF OR AAJ,,,EI-0000016466.png,"['ROW', 'GCC', 'Australia', 'Canada / Mexico', 'US', 'EU']","['Procured', 'Self destructive']",6,2
x,EI-0000023495,TOWING/EMERGENCY RESCUE CAUTION AWD PU,True,False,True,True,True,True,True,True,1,True,False,False,True,False,2.0,16.2,True,True,True,HANG ON PARTS,okay,AAN OR AAO OR AAP,,,EI-0000023495.png,"['PU', 'ROW', 'GCC', 'Australia', 'Canada / Mexico', 'US', 'EU']","['Procured', 'Self destructive']",7,2
